family,genus,scientificName,speciesCode_Synonym,isCurrent,currentScientificName,currentScientificNameCode,primaryGrowthForm,primaryGrowthFormGroup,establishmentMeans,TSProfileID,scientificNameAuthorship,dcterms_rightsHolder,dcterms_rights,
Acanthaceae,Avicennia,Avicennia marina,7569,false,Avicennia marina subsp. australasica,10427,Tree,Tree (TG),"Alive in NSW, Native",,(Walp.) Everett,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Avicennia,Avicennia marina subsp. australasica,10427,true,Avicennia marina subsp. australasica,10427,Tree,Tree (TG),"Alive in NSW, Native",,(Walp.) Everett,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Avicennia,Avicennia marina var. australasica,9244,false,Avicennia marina subsp. australasica,10427,Tree,Tree (TG),"Alive in NSW, Native",,(Walp.) Everett,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Avicennia,Avicennia spp.,AVIC,true,Avicennia spp.,AVIC,Tree,Tree (TG),"Alive in NSW, Native",,,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Brunoniella,Brunoniella australis,1003,true,Brunoniella australis,1003,Forb,Forb (FG),"Alive in NSW, Native",,(Cav.) Bremek.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Brunoniella,Brunoniella pumilio,1004,true,Brunoniella pumilio,1004,Forb,Forb (FG),"Alive in NSW, Native",,(R.Br.) Bremek.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Brunoniella,Brunoniella spiciflora,11057,true,Brunoniella spiciflora,11057,Forb,Forb (FG),"Alive in NSW, Native",,(F.Muell. ex Benth.) Bremek.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Brunoniella,Brunoniella spp.,BRUN,true,Brunoniella spp.,BRUN,Forb,Forb (FG),"Alive in NSW, Native",,,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Dipteracanthus,Dipteracanthus australasicus,6565,true,Dipteracanthus australasicus,6565,,,"Alive in NSW, Native",,F.Muell.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Dipteracanthus,Dipteracanthus australasicus subsp. australasicus,7053,true,Dipteracanthus australasicus subsp. australasicus,7053,Shrub,Shrub (SG),"Alive in NSW, Native",,F.Muell.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Dipteracanthus,Dipteracanthus australasicus subsp. corynothecus,8630,true,Dipteracanthus australasicus subsp. corynothecus,8630,Shrub,Shrub (SG),"Alive in NSW, Native",10232,(F. Muell. ex Benth.) R. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Dipteracanthus,Dipteracanthus corynothecus,1005,false,Dipteracanthus australasicus subsp. corynothecus,8630,Shrub,Shrub (SG),"Alive in NSW, Native",10232,(F. Muell. ex Benth.) R. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Dipteracanthus,Dipteracanthus spp.,DIPT,true,Dipteracanthus spp.,DIPT,Shrub,Shrub (SG),"Alive in NSW, Native",,,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Harnieria,Calophanoides hygrophiloides,7012,false,Harnieria hygrophiloides,10847,Shrub,Shrub (SG),"Alive in NSW, Native",10134,(F. Muell.) R. M. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Harnieria,Harnieria hygrophiloides,10847,true,Harnieria hygrophiloides,10847,Shrub,Shrub (SG),"Alive in NSW, Native",10134,(F. Muell.) R. M. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Harnieria,Justicia hygrophiloides,1009,false,Harnieria hygrophiloides,10847,Shrub,Shrub (SG),"Alive in NSW, Native",10134,(F. Muell.) R. M. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hygrophila,Hygrophila angustifolia,9202,true,Hygrophila angustifolia,9202,Forb,Forb (FG),"Alive in NSW, Native",,R.Br.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hygrophila,Hygrophila salicifolia,1006,false,Hygrophila angustifolia,9202,Forb,Forb (FG),"Alive in NSW, Native",,R.Br.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hygrophila,Hygrophila spp.,HYGR,true,Hygrophila spp.,HYGR,Forb,Forb (FG),"Alive in NSW, Native",,,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hypoestes,Hygrophila floribunda,6763,false,Hypoestes floribunda,10226,Forb,Forb (FG),"Alive in NSW, Native",,R.Br.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hypoestes,Hygrophila floribunda var. floribunda,7032,false,Hypoestes floribunda var. floribunda,10227,Forb,Forb (FG),"Alive in NSW, Native",,R.Br.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hypoestes,Hypoestes floribunda,10226,true,Hypoestes floribunda,10226,Forb,Forb (FG),"Alive in NSW, Native",,R.Br.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hypoestes,Hypoestes floribunda var. floribunda,10227,true,Hypoestes floribunda var. floribunda,10227,Forb,Forb (FG),"Alive in NSW, Native",,R.Br.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hypoestes,Hypoestes floribunda var. pubescens,7405,true,Hypoestes floribunda var. pubescens,7405,Forb,Forb (FG),"Alive in NSW, Native",,Benth.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Hypoestes,Hypoestes spp.,HYPT,true,Hypoestes spp.,HYPT,Forb,Forb (FG),"Alive in NSW, Native",,,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Isoglossa,Isoglossa eranthemoides,7310,true,Isoglossa eranthemoides,7310,Forb,Forb (FG),"Alive in NSW, Native",10438,(F. Muell.) R. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Isoglossa,Isoglossa spp.,ISOG,true,Isoglossa spp.,ISOG,Forb,Forb (FG),"Alive in NSW, Native",,,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Isoglossa,Justicia eranthemoides,1008,false,Isoglossa eranthemoides,7310,Forb,Forb (FG),"Alive in NSW, Native",10438,(F. Muell.) R. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Justicia,Justicia peploides,7732,true,Justicia peploides,7732,,,"Alive in NSW, Native",,T.Anderson,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Pseuderanthemum,Pseuderanthemum variabile,1010,true,Pseuderanthemum variabile,1010,Forb,Forb (FG),"Alive in NSW, Native",,(R.Br.) Radlk.,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Rhaphidospora,Justicia bonneyana,1007,false,Rhaphidospora bonneyana,7769,Shrub,Shrub (SG),"Extinct in NSW, Native",20208,(F. Muell.) R. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
Acanthaceae,Rhaphidospora,Rhaphidospora bonneyana,7769,true,Rhaphidospora bonneyana,7769,Shrub,Shrub (SG),"Extinct in NSW, Native",20208,(F. Muell.) R. Barker,"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,
